"€1,600 monthly","1 bedroom (1 double), 1 bathroom, furnished","The Sycamore, Parkview, Stepaside, Dublin 18, Stepaside, Dublin 18"
"€1,500 monthly","1 bedroom (1 double), 1 bathroom, furnished","Apt 184, Block D, Castleforbes Square, Dublin 1"
"€1,500 monthly","2 bedrooms (2 double), 1 bathroom, furnished","21 Cedarbrook Way, Cherry Orchard, Dublin 10"
"€2,000 monthly","2 bedrooms (1 single, 1 double), 1 bathroom, furnished or unfurnished","Richmond Park, Monkstown, Co. Dublin"
"€1,650 monthly","1 bedroom (1 double), 1 bathroom, furnished","18 Mimosa Hall, Levmos Park, Leopardstown, Dublin 18"
"€1,150 monthly",studio apartment to rent,"Lower Rathmines Road, Rathmines, Dublin 6"
"€1,850 monthly","1 bedroom (1 double), 1 bathroom, furnished","The Bookend, Exchequer Street, Temple Bar, Dublin 2"
"€2,000 monthly","3 bedrooms (3 double), 2 bathrooms, furnished","Carrigmore Crescent, Citywest, Co. Dublin"
"€1,650 monthly","2 bedrooms (2 double), 1 bathroom, furnished","48b Eskerlawns Esker Place, Lucan, Co. Dublin"
"€2,000 monthly","3 bedrooms (1 single, 2 double), 3 bathrooms, furnished","46 Galtrim Grange, Malahide, Co. Dublin"
"€1,450 monthly","1 bedroom (1 double), 1 bathroom, furnished","Mary Street, off Capel Street, Dublin 1"
"€1,375 monthly","1 bedroom (1 double), 1 bathroom, furnished","Martin's Row,drummond House , Main St , Chapelizo, Chapelizod, Dublin 20"
"€1,800 monthly","2 bedrooms (1 single, 1 double), 1 bathroom, furnished","25 Richmond Avenue, Fairview, Dublin 3"
"€1,950 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Merrion Village, Merrion Road, Ballsbridge, Dublin 4"
"€1,988 monthly","4 bedrooms (2 single, 2 double), 1 bathroom, furnished","Drynam Court, Swords, Co. Dublin"
€950 monthly,studio apartment to rent,"Victoria St., Portobello, Dublin 8"
"€1,400 monthly","1 bedroom (1 double), 1 bathroom, furnished","69 Adelaide Road, Dublin 2"
"€1,600 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Boroimhe, Swords, Co. Dublin"
"€1,900 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Abbot Court, Dun Laoghaire, Co. Dublin"
"€1,248 monthly","1 bedroom (1 double), 1 bathroom, furnished","45 Cabra Park . Dublin 7, Dublin 7"
"€1,150 monthly",studio apartment to rent,"96 North Circular Rd, North Circular Road, Dublin 7"
€300 weekly,"1 bedroom (1 double), 1 bathroom, furnished","Frederick Street North, Dublin 1"
"€1,550 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Finnstown Hall, Haydens Lane, Lucan, Co. Dublin"
"€1,600 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Verdemont, Snugsborough Road, Blanchardstown, Dublin 15"
"€1,850 monthly","3 bedrooms (1 single, 2 double), 3 bathrooms, furnished","Redcourt Oaks, Clontarf, Dublin 3"
"€1,950 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Grove House, Milltown Road, Milltown, Dublin 6"
"€1,200 monthly","1 bedroom (1 double), 1 bathroom, furnished","Stamer Street, Portobello, Dublin 8"
"€1,250 monthly","1 bedroom (1 double), 1 bathroom, furnished","47 Coldwell Street, Glasthule, Co. Dublin"
"€1,500 monthly",studio apartment to rent,"The Old Mill, Phibsborough, Dublin 7"
€800 monthly,studio apartment to rent,"54 Inchicore Road, Kilmainham, Dublin 8"
"€1,875 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Leinster Road, Rathmines, Dublin 6"
"€2,000 monthly","4 bedrooms (1 single, 3 double), 3 bathrooms, furnished","53 Brides Glen Park, Swords, Co. Dublin"
"€1,850 monthly","3 bedrooms (1 single, 2 double), 3 bathrooms, furnished","Boroimhe Aspen 74, Swords, Co. Dublin"
"€1,550 monthly","1 bedroom (1 double), 1 bathroom, furnished","1 Millrace Court, Castleknock, Castleknock, Dublin 15"
